Epoch,Train Loss,Validation Loss
1,2.623093455039022,2.6269193129106
2,2.6250970357519283,2.6269193129106
3,2.624009462268761,2.6269193129106
4,2.623368039460438,2.6269193129106
5,2.624735781603762,2.6269193129106
6,2.6245595768589496,2.6269193129106
7,2.6240443323579288,2.6269193129106
8,2.6247584411250355,2.6269193129106
9,2.625330521322577,2.6269193129106
10,2.624807455350676,2.6269193129106
11,2.6247876970969197,2.6269193129106
12,2.6243135337634467,2.6269193129106
13,2.623672949993397,2.6269193129106
14,2.625107743246171,2.6269193129106
15,2.6248186841950085,2.6269193129106
16,2.6243032335930163,2.6269193129106
17,2.6227667453648795,2.6269193129106
18,2.6237800724975897,2.6269193129106
19,2.6255776900464616,2.6269193129106
20,2.62375806481637,2.6269193129106
21,2.623005017600096,2.6269193129106
22,2.6230761212156253,2.6269193129106
23,2.6244748669207247,2.6269193129106
24,2.6244474298813762,2.6269193129106
25,2.6243337127558717,2.6269193129106
26,2.623574127626541,2.6269193129106
27,2.6229775634872943,2.6269193129106
28,2.6251051157636716,2.6269193129106
29,2.622310239640648,2.6269193129106
30,2.6244015443660413,2.6269193129106
31,2.623887064511819,2.6269193129106
32,2.623568168991362,2.6269193129106
33,2.6236942491263076,2.6269193129106
34,2.624588468190654,2.6269193129106
35,2.623568367775139,2.6269193129106
36,2.6241493389734525,2.6269193129106
37,2.6254465878772004,2.6269193129106
38,2.6251348138160413,2.6269193129106
39,2.624068819958231,2.6269193129106
40,2.6229788421669884,2.6269193129106
41,2.623715128130315,2.6269193129106
42,2.625157148331937,2.6269193129106
43,2.624398506510898,2.6269193129106
44,2.624106594363747,2.6269193129106
45,2.6224197670626825,2.6269193129106
46,2.622835864801236,2.6269193129106
47,2.624966606154771,2.6269193129106
48,2.6235736568870447,2.6269193129106
49,2.624218870611752,2.6269193129106
50,2.6243606382013893,2.6269193129106
51,2.6245208725599984,2.6269193129106
52,2.6237285503036225,2.6269193129106
53,2.6240251930168523,2.6269193129106
54,2.6255470084412322,2.6269193129106
55,2.6233385529969353,2.6269193129106
56,2.624135438743455,2.6269193129106
57,2.6239975309737806,2.6269193129106
58,2.6238384423658365,2.6269193129106
59,2.6249050020866687,2.6269193129106
60,2.62493685871134,2.6269193129106
