Epoch,Train Loss,Validation Loss
1,2.317501682208291,2.3057989509883465
2,2.3083596204135466,2.3093559294621318
3,2.3057964681816507,2.303745690185124
4,2.303749418462009,2.3033144814627513
5,2.303000602132476,2.302739100669747
6,2.3023481546942866,2.302528340679242
7,2.302442902440964,2.3030587386474934
8,2.3020262855456584,2.3018341288129402
9,2.302096320622003,2.3020680240476565
10,2.3019233207458627,2.302025537246834
11,2.302061046364465,2.30173105064994
12,2.301880500972398,2.3019602197065536
13,2.301540852609728,2.30232429351888
