Epoch,Train Loss,Validation Loss
1,2.3954329637005505,2.3846294940272466
2,2.3948889364062063,2.3846294940272466
3,2.3926218958461987,2.3846294940272466
4,2.3921826074800223,2.3846294940272466
5,2.3926275532568813,2.3846294940272466
6,2.393420356009013,2.3846294940272466
7,2.3927747691073993,2.3846294940272466
8,2.392234880905932,2.3846294940272466
9,2.3913661409217073,2.3846294940272466
10,2.3932888885898054,2.3846294940272466
11,2.393052844440236,2.3846294940272466
12,2.391246531625538,2.3846294940272466
13,2.3934174529121965,2.3846294940272466
14,2.393514669764682,2.3846294940272466
15,2.392056948693512,2.3846294940272466
16,2.3932923923063156,2.3846294940272466
17,2.394337802896719,2.3846294940272466
18,2.393198612705826,2.3846294940272466
19,2.393679115168579,2.3846294940272466
20,2.393121963266826,2.3846294940272466
21,2.393379702287562,2.3846294940272466
22,2.3932721120927036,2.3846294940272466
23,2.392091974273057,2.3846294940272466
24,2.393161980392378,2.3846294940272466
25,2.3929968953437513,2.3846294940272466
26,2.392657153746661,2.3846294940272466
27,2.392495662050174,2.3846294940272466
28,2.392058021272235,2.3846294940272466
29,2.393994549046392,2.3846294940272466
30,2.393854408922708,2.3846294940272466
31,2.3942515185421995,2.3846294940272466
32,2.3929063304305993,2.3846294940272466
33,2.392570932198059,2.3846294940272466
34,2.393067580659676,2.3846294940272466
35,2.3927890711733144,2.3846294940272466
36,2.3932709340244305,2.3846294940272466
37,2.3930942146369563,2.3846294940272466
38,2.392440864802017,2.3846294940272466
39,2.392982869501919,2.3846294940272466
40,2.3935406458042467,2.3846294940272466
41,2.394116295573047,2.3846294940272466
42,2.393020081093244,2.3846294940272466
43,2.3924667597426783,2.3846294940272466
44,2.3933450114696533,2.3846294940272466
45,2.392817044197141,2.3846294940272466
46,2.3927055710112044,2.3846294940272466
47,2.3928619071345807,2.3846294940272466
48,2.392997559988895,2.3846294940272466
49,2.3936197355275266,2.3846294940272466
50,2.3925161910483905,2.3846294940272466
51,2.3930483138774665,2.3846294940272466
52,2.3927597414197215,2.3846294940272466
53,2.3929678796197447,2.3846294940272466
54,2.3934642475889163,2.3846294940272466
55,2.3925925758488646,2.3846294940272466
56,2.3925965972568677,2.3846294940272466
57,2.3922600721764136,2.3846294940272466
58,2.393154466243656,2.3846294940272466
59,2.3934553102459137,2.3846294940272466
60,2.392903857828711,2.3846294940272466
61,2.393292017909877,2.3846294940272466
62,2.3929234422991037,2.3846294940272466
63,2.3926805992565496,2.3846294940272466
64,2.3929826499860916,2.3846294940272466
65,2.39303568318067,2.3846294940272466
66,2.3946317998344635,2.3846294940272466
67,2.3933290447420474,2.3846294940272466
68,2.3930471986151107,2.3846294940272466
69,2.3937173225080874,2.3846294940272466
70,2.3930826601774795,2.3846294940272466
71,2.3937615122636564,2.3846294940272466
72,2.3930438284373956,2.3846294940272466
73,2.3926068754757153,2.3846294940272466
74,2.3926472243140724,2.3846294940272466
75,2.392830579177193,2.3846294940272466
76,2.394045803553003,2.3846294940272466
77,2.3921185472737188,2.3846294940272466
78,2.3953364797870216,2.3846294940272466
79,2.3940637221421732,2.3846294940272466
80,2.3939740035844888,2.3846294940272466
